latitude,longitude,rock_group,rock_type,density_model,thermal_conductivity,heat_production,heat_production_mass
-79.63255438,159.7793802,metamorphic,metaigneous,2689.503615,4.587505697,2.289867673,0.000851409
-79.63255438,159.7793802,metamorphic,metaigneous,2927.786107,4.589483121,1.417029266,0.000483993
-79.63133448,159.7735004,metamorphic,metaigneous,2924.131958,4.58945424,1.40462447,0.000480356
-79.63133448,159.7735004,metamorphic,metaigneous,2939.539397,4.589759952,1.48293274,0.000504478
-79.63133448,159.7735004,metamorphic,metaigneous,2946.693456,4.589716418,1.427190026,0.000484336
-79.62888889,-20.03166667,metamorphic,metaplutonic,2900.622674,4.589473352,0.404735207,0.000139534
-79.62888889,-20.03166667,metamorphic,metaigneous,2931.256544,4.588967468,1.724147924,0.000588194
-79.62888889,-20.03166667,metamorphic,metaigneous,2932.826426,4.589295371,0.362563754,0.000123623
-79.62888889,-20.03166667,metamorphic,metaigneous,2955.008125,4.589369815,0.279899395,0.0000947
-79.62833333,-20.03083333,metamorphic,"not defined, metamorphic",2989.568062,4.589574683,0.694831592,0.000232419
-79.61805556,-28.2875,metamorphic,"not defined, metamorphic",2853.053085,4.588801653,0.962527876,0.000337368
-79.61805556,-28.2875,metamorphic,metaigneous,2862.621721,4.588680634,1.173687698,0.000410004
-79.61805556,-28.2875,metamorphic,metaigneous,2914.068554,4.589357822,2.026988459,0.000695587
-79.61444444,-28.34833333,metamorphic,metaplutonic,2659.223214,4.587254361,1.60700788,0.000604315
-79.61444444,-28.34833333,metamorphic,metaplutonic,2663.351344,4.587115921,0.625428178,0.000234828
-79.61187591,159.7062807,igneous,plutonic,2701.63163,4.587221137,0.886403931,0.000328099
-79.61011211,158.4418409,igneous,plutonic,2696.666878,4.58722524,0.912382209,0.000338337
-79.6101106,158.7512662,igneous,plutonic,2607.146995,4.586892753,2.616213701,0.001003478
-79.6101106,158.7512662,igneous,plutonic,2615.158179,4.586874543,3.062517021,0.001171064
-79.6101106,158.7512662,igneous,plutonic,2623.577228,4.586872889,2.487048819,0.000947961
-79.6101106,158.7512662,igneous,plutonic,2666.209472,4.586980279,1.797444832,0.000674157
-79.6101106,158.7512662,igneous,plutonic,2666.708905,4.587076586,1.829054942,0.000685885
-79.6101106,158.7512662,metamorphic,metasedimentary,2721.116742,4.587523938,2.601784104,0.000956146
-79.60277778,-28.475,metamorphic,metaplutonic,2665.375506,4.58700744,1.057392047,0.000396714
-79.60277778,-28.475,metamorphic,metaplutonic,2733.715873,4.587769253,1.497088606,0.000547639
-79.60277778,-28.475,metamorphic,metaigneous,2972.28085,4.590362462,0.337097071,0.000113414
-79.59583333,-28.455,metamorphic,"not defined, metamorphic",2922.40238,4.588788189,1.265889983,0.000433168
-79.59583333,-28.455,metamorphic,"not defined, metamorphic",2954.363705,4.589593707,0.442575332,0.000149804
-79.59583333,-28.455,metamorphic,"not defined, metamorphic",2979.763143,4.590513503,2.895115282,0.000971592
