X,Y,Name,Lo,La,Uncertaint,Type,Input,Measured,Predicted,Error,Mis_Shen,StdError,Stdd_Error,NormValue,Source_ID,Field15,Iso_35_1,Iso_25_1,Ocean_1
-2582017.968,1478735.633,,-60.2,-63.1,0,6,31,29,0,-1.731334967,0,6.454542588,-0.268235114,-0.311272073,154,0,33.0530014,23.0529995,10.40299988
-2621837.261,1501540.357,,-60.2,-62.7,0,6,35,25,0,-9.85031278,0,6.430188707,-1.53188549,-1.621122396,155,0,36.65499878,26.65500069,8.849100113
-2671703.169,1530098.832,,-60.2,-62.2,0,6,18,23,0,5.22856484,0,6.457718112,0.809661362,0.815472199,156,0,34.67100143,24.67099953,8.788100243
-3112139.118,1789559.364,,-60.1,-57.8,0,6,10,14,0,4.033779713,0,8.076185947,0.499465929,0.609536825,157,0,25.46299934,15.4630003,10.77600002
-2519581.474,1472324.537,,-59.7,-63.6,0,6,36,31,0,-4.830434802,0,6.505151929,-0.742555263,-0.797554449,158,0,33.06200027,23.06200027,9.114999771
-2494720.988,1469502.965,,-59.5,-63.8,0,6,28,33,0,5.354895166,0,6.574660319,0.814474803,0.827564129,159,0,34.99700165,24.99699974,8.377599716
-2593406.819,1527633.362,,-59.5,-62.8,0,6,13,31,0,17.60516312,0,6.399122856,2.751183798,2.627327267,160,0,31.29400063,21.29400063,10.18400002
-2623090.332,1545118.288,DSS2,-59.5,-62.5,1,1,33,27,0,-6.148267938,0,6.419876651,-0.957692534,-0.997717159,161,0,36.25699997,26.25699997,8.273200035
-2692495.449,1586001.026,,-59.5,-61.8,0,6,20,20,0,0.362905103,0,6.492499777,0.055896052,0.086394026,162,0,33.92300034,23.92300034,8.284799576
-2742196.212,1615277.013,,-59.5,-61.3,0,6,10,20,0,10.27650145,0,6.720366718,1.52915784,1.428374259,163,0,23.50600052,13.50599957,11.86100006
-2592528.354,1551596.211,,-59.1,-62.7,0,6,29,26,0,-3.206772414,0,6.389922129,-0.501848434,-0.563418803,164,0,31.25900078,21.25900078,9.91629982
-1362124.985,818447.2617,D100,-59,-75.45,1,1,35,33,38.20299911,-2.110766231,3.202999115,6.662464417,-0.316814635,-0.379982129,165,0,33.32300186,23.32299995,16.65099907
